Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-08-03,4916.82,4919.72,4865.44,4874.71,22107979
2017-08-04,4877.01,4894.56,4861.23,4868.04,25188720
2017-08-07,4877.8,4891.75,4876.08,4890.36,14358739
2017-08-08,4901.39,4907.9,4891.7,4904.19,14563961
2017-08-09,4905.43,4905.74,4858.62,4868.06,7233326
2017-08-10,4877.44,4878.97,4848.24,4848.24,9223506
2017-08-11,4818.61,4831.47,4808.45,4831.47,8224840
2017-08-14,4849.89,4855.08,4832.72,4839.94,5547485
2017-08-16,4844.68,4874.32,4840.17,4867.1,6795116
2017-08-17,4870.13,4879.7,4862.29,4866.26,5583397
2017-08-18,4853.66,4868.41,4850.59,4865.55,5312623
2017-08-21,4867.74,4887.72,4866.22,4887.72,4549662
2017-08-22,4893.7,4901.94,4871.45,4887.68,6146674
2017-08-23,4885.27,4885.27,4844.84,4863.13,8731915
2017-08-24,4857.25,4879.3,4852.22,4879.3,7144235
2017-08-25,4873.58,4884.81,4866.8,4876.38,8774411
2017-08-28,4867.93,4888.5,4863.92,4887.1,10819793
2017-08-29,4880.66,4888.47,4806.14,4832.12,6972008
2017-08-30,4849.39,4859.99,4834.47,4856,11989439
2017-08-31,4864.51,4907.78,4864.51,4907.78,11604457
2017-09-01,4906.34,4924.4,4889.88,4909.22,5953572
2017-09-04,4903.03,4914.63,4893.15,4909.5,3237400
2017-09-05,4912.67,4925.38,4895.99,4910.33,4904839
2017-09-06,4910.05,4920.61,4839.34,4863.06,10926896
2017-09-07,4880.31,4888.34,4853.31,4865.64,8389808
2017-09-08,4870.02,4898.67,4864.91,4889.39,22115602
2017-09-11,4897.8,4913.24,4890.59,4895.63,11853979
2017-09-12,4912.26,4943.95,4894.57,4927.9,13487048
2017-09-13,4920.98,4953.24,4920.98,4933.13,9384808
2017-09-14,4942.03,4947.01,4896.36,4905.33,7786675
2017-09-15,4909.99,4925.76,4881.27,4881.27,13123552
2017-09-18,4889.64,4913.01,4882.93,4893.39,8129919
2017-09-19,4897.18,4909.41,4885.71,4908.91,8563469
2017-09-20,4925.97,4938.83,4920.45,4932.16,9144883
2017-09-21,4940.81,4946.5,4912.23,4931.14,11467332
2017-09-22,4930.27,4938.81,4895.89,4924.84,7198535
2017-09-25,4925.99,4929.99,4906.11,4916.8,7555629
2017-09-26,4917.18,4922.65,4889.68,4911.84,7144599
2017-09-27,4906.53,4927.97,4906.53,4919.78,8075852
2017-09-28,4931.01,4959.12,4925.42,4959.12,11375894
2017-09-29,4965.43,4988.02,4962.94,4988.02,12394650
2017-10-02,4985.24,4997.18,4959.97,4974.19,8984368
2017-10-03,4985.65,4996.16,4949.34,4956.01,8024433
2017-10-04,4948.74,4953.43,4907.48,4912.74,7484550
2017-10-05,4910.8,4929.23,4908.92,4928.62,7126294
2017-10-06,4935.98,4948.28,4924.02,4930.58,12077672
2017-10-09,4923.22,4935.73,4915.49,4922.86,5395016
2017-10-10,4942.57,4946.96,4907.33,4922.67,19328748
2017-10-11,4926.37,4967.18,4919.53,4949.91,24986960
2017-10-12,4976.4,4997.2,4964.26,4964.26,26728739
2017-10-13,4977.65,4984.49,4948.61,4948.61,9496252
2017-10-16,4970.5,4974.82,4947,4960.7,8235902
2017-10-17,4955.09,4955.09,4888.22,4888.22,10873221
2017-10-18,4892.47,4901.93,4844.37,4846.8,7168298
2017-10-19,4847.26,4863.81,4800.7,4820.03,10787843
2017-10-20,4822.99,4834.16,4796.33,4831.82,15360010
2017-10-23,4829.01,4838.82,4787.48,4794.11,7424966
2017-10-24,4802.73,4802.73,4724.32,4724.54,8951987
2017-10-25,4730.04,4765.72,4717.77,4763.56,9164717
2017-10-26,4767.14,4784.26,4754.45,4784.26,9684538
2017-10-27,4801.04,4821.85,4786.79,4821.85,20459389
2017-10-30,4839.99,4850.01,4832.49,4850.01,14772347
2017-10-31,4850.92,4875.44,4837.84,4875.44,12327380
2017-11-02,4892.85,4893.45,4849.58,4860.41,8882636
2017-11-03,4869.8,4876.07,4845.76,4848.38,9454485
2017-11-06,4852.25,4858.19,4826.4,4855.92,8609484
2017-11-07,4863.13,4933.17,4860.99,4922.71,14248098
2017-11-08,4918.81,4931.36,4895.7,4903.11,10896738
2017-11-09,4891.81,4904.17,4858.21,4877.83,8242638
2017-11-10,4860.5,4877.95,4833.37,4833.37,5176381
2017-11-13,4837.58,4838.43,4762.44,4776.75,10289048
2017-11-14,4805.2,4810.49,4721.56,4749.5,13185934
2017-11-15,4747.98,4756.15,4692.81,4715.73,8873497
2017-11-16,4729.73,4737.77,4720.29,4736.74,7511779
2017-11-17,4750.54,4786.21,4746.76,4782.21,9691409
2017-11-20,4787.12,4829.48,4787.12,4829.48,8508778
2017-11-21,4829.83,4839.68,4801.7,4838.84,9196443
2017-11-22,4778.37,4823.93,4778.37,4823.93,9578956
2017-11-23,4814.7,4837.48,4801.4,4809,6244375
2017-11-24,4822.1,4839.21,4814.52,4827,10032894
2017-11-27,4826.71,4849.76,4817.95,4826.62,13747659
